CountryCode,GDP_Decade_Start,GDP_Decade_End,GDP_Growth,Net_Decade_Start,Net_Decade_End,Net_Growth,CO2_Change,Score,Label
YEM,1990s,2010s,0.327,1990s,2010s,1025.241,-0.340,1025.568,crecimiento_bajo_o_mixto
ABW,1990s,2010s,0.682,1990s,2010s,32.330,1.082,31.931,crecimiento_bajo_o_mixto
AGO,1990s,2010s,5.028,1990s,2010s,1023.593,-0.695,1028.621,verde_digital
ARG,1990s,2010s,0.711,1990s,2010s,126.701,0.670,126.743,crecimiento_bajo_o_mixto
ARM,1990s,2010s,6.662,1990s,2010s,273.609,-0.737,280.271,verde_digital
AUS,1990s,2010s,1.902,1990s,2010s,7.384,-0.196,9.286,verde_digital
AZE,1990s,2010s,11.134,1990s,2010s,2881.423,-0.894,2892.556,verde_digital
BHS,1990s,2010s,1.052,1990s,2010s,43.699,0.007,44.743,verde_digital
BLR,1990s,2010s,3.340,1990s,2010s,670.308,-0.481,673.648,verde_digital
BOL,1990s,2010s,2.460,1990s,2010s,100.632,-0.000,103.092,verde_digital
BWA,1990s,2010s,1.228,1990s,2010s,114.963,0.387,115.803,digital_con_mas_emisiones
CHL,1990s,2010s,2.360,1990s,2010s,76.916,0.133,79.143,digital_con_mas_emisiones
CPV,1990s,2010s,2.582,1990s,2010s,99.026,1.596,100.012,digital_con_mas_emisiones
CUB,1990s,2010s,2.189,1990s,2010s,380.635,-0.231,382.824,verde_digital
CYM,2000s,2010s,-0.094,1990s,2010s,73.397,NA,73.302,digital_sin_datos_co2
CYP,1990s,2010s,1.208,1990s,2010s,24.142,-0.035,25.351,verde_digital
DJI,1990s,2010s,1.888,1990s,2010s,555.411,-0.197,557.299,verde_digital
DNK,1990s,2010s,0.894,1990s,2010s,11.349,-0.366,12.243,crecimiento_bajo_o_mixto
DOM,1990s,2010s,2.463,1990s,2010s,217.645,-0.028,220.108,verde_digital
ECU,1990s,2010s,2.085,1990s,2010s,345.918,-0.003,348.003,verde_digital
ERI,1990s,2010s,1.066,1990s,2010s,664.453,-0.513,665.519,verde_digital
EST,1990s,2010s,4.808,1990s,2010s,18.496,-0.339,23.304,verde_digital
FIN,1990s,2010s,0.960,1990s,2010s,6.443,-0.138,7.404,crecimiento_bajo_o_mixto
FSM,1990s,2010s,0.704,1990s,2010s,27.083,0.638,27.150,crecimiento_bajo_o_mixto
GNB,1990s,2010s,0.222,1990s,2010s,235.799,-0.297,236.021,crecimiento_bajo_o_mixto
GNQ,1990s,2010s,27.208,1990s,2010s,414.222,-0.730,441.430,verde_digital
GRD,1990s,2010s,1.483,1990s,2010s,90.738,0.591,91.630,digital_con_mas_emisiones
GUM,2000s,2010s,0.366,1990s,2010s,25.614,NA,25.980,digital_sin_datos_co2
GUY,1990s,2010s,6.740,1990s,2010s,227.156,-0.602,233.897,verde_digital
HIC,1990s,2010s,0.958,2000s,2010s,0.319,0.080,1.197,crecimiento_bajo_o_mixto
HKG,1990s,2010s,0.926,1990s,2010s,12.926,0.067,13.785,crecimiento_bajo_o_mixto
HND,1990s,2010s,1.392,1990s,2010s,141.835,0.636,142.591,digital_con_mas_emisiones
IDA,1990s,2010s,1.860,2000s,2010s,3.221,-0.117,5.081,crecimiento_bajo_o_mixto
IRN,1990s,2010s,2.275,1990s,2010s,590.809,0.254,592.830,digital_con_mas_emisiones
KAZ,1990s,2010s,6.599,1990s,2010s,670.437,-0.611,677.036,verde_digital
KGZ,1990s,2010s,1.796,1990s,2010s,416.580,-0.269,418.376,verde_digital
KHM,1990s,2010s,4.496,1990s,2010s,1528.285,1.235,1531.546,digital_con_mas_emisiones
KIR,1990s,2010s,1.206,1990s,2010s,29.502,0.675,30.033,digital_con_mas_emisiones
KNA,1990s,2010s,1.786,1990s,2010s,26.747,0.259,28.275,digital_con_mas_emisiones
KOR,1990s,2010s,1.910,1990s,2010s,23.235,0.195,24.951,digital_con_mas_emisiones
LBR,1990s,2010s,4.724,1990s,2010s,2065.171,0.022,2069.873,verde_digital
LCN,1990s,2010s,1.539,2000s,2010s,1.277,0.113,2.703,crecimiento_bajo_o_mixto
LTU,1990s,2010s,4.908,1990s,2010s,58.273,-0.632,63.181,verde_digital
LVA,1990s,2010s,4.568,1990s,2010s,35.977,-0.585,40.545,verde_digital
MAC,1990s,2010s,3.868,1990s,2010s,25.359,-0.359,29.227,verde_digital
MAR,1990s,2010s,1.314,1990s,2010s,1056.269,0.685,1056.897,digital_con_mas_emisiones
